1,7136
1,2453
1,2452
1,11612
1,2111
1,6632
1,7137
1,5989
1,4000
1,3998
1,7161
1,3999
1,4705
1,1382
1,1384
1,2454
1,2265
1,1400
1,1115
1,330
1,10179
1,1407
1,2081
1,1399
1,1406
1,5468
1,10171
1,1413
1,3882
1,1805
1,13790
2,7384
2,7603
2,8250
2,618
2,7250
2,5626
2,6272
2,5232
2,278
2,9945
2,11347
2,9943
2,6838
2,9944
2,10645
2,5464
2,4386
2,11637
2,11157
2,672
2,100
2,301
2,3758
2,5011
2,8846
2,3850
2,6274
2,9244
2,13504
2,4457
2,9158
2,1318
2,9351
2,4899
2,6166
2,4390
2,4270
3,8250
3,672
3,9218
3,6224
3,667
3,6838
3,684
3,2034
3,13367
3,4899
3,4900
3,6272
3,2540
3,9451
3,11114
3,599
3,1166
3,1769
3,5454
3,10112
3,10636
10,1680
10,2586
10,4683
10,3821
10,426
10,113
10,1809
10,11299
10,1801
12,10121
12,4063
12,5636
12,5626
12,4062
12,6272
12,278
12,11636
12,5455
12,6592
12,470
12,11433
12,12589
12,11637
12,1069
12,4450
12,4135
12,5454
12,3559
12,11631
12,12757
4,13307
4,9434
4,2143
4,5929
4,8816
4,8851
4,5130
4,228
4,9595
4,602
4,780
4,325
19,2510
19,11366
19,1448
19,5878
19,6629
19,8157
19,9818
19,12420
19,12454
19,9728
19,8798
19,320
19,11631
19,906
19,964
19,1337
19,1993
19,2476
19,2634
19,4108
19,4109
19,4914
19,5846
19,5960
19,6003
19,6653
19,6847
19,8176
19,9528
19,11126
19,12671
19,2218
19,2480
19,3207
19,5979
19,7292
19,7975
19,8496
19,9357
19,9845
19,10096
19,10342
19,10789
19,11191
19,11300
19,12050
19,12129
19,12220
19,12482
19,12486
19,12487
19,11698
19,12070
19,4431
19,9266
19,12753
19,4229
19,5008
19,5045
19,4905
19,11512
19,12497
19,1361
19,3830
19,976
19,2784
19,2886
19,2407
19,13791
19,9265
19,925
19,5670
19,123
19,12754
19,4247
19,11689
19,12360
19,919
19,975
19,12357
19,4226
19,1235
19,13704
19,2495
19,11899
19,12359
19,11654
19,11709
19,4799
19,12999
19,9346
19,10638
19,4989
19,11602
19,11695
19,4230
19,692
19,1747
19,6582
19,9267
19,2531
19,2457
19,3720
19,5200
19,9723
19,4119
19,10872
19,9258
8,8771
8,2578
8,5061
8,5059
8,11
